,가스,견해,경고,경북,고의,공구,과태료,관계,근무,기계,김천,내용,당일,도구,목적,미만,믹_,발화,배관,베스티,보고,보험,부과,부산,부위,분경,불꽃,사유,사이,산소,산업재,산재,상기,상태,생각,서기,서울,성심,소속,소재,스파크,연결,연기,옷_,요양,용접,응급실,응급처치,의거,의료,이내,작업복,장소,전문,전신,제거,제출,조사,조사표,조치,종결,준비,중구,지침,지하,진단,진압,진화,찌꺼기,차량,처리,처분,초기,최근,추정,출근,치료,탱크,통원,판단,페인트,폭발,한강,현장,호스,호흡,화상,회사,후송
추정,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,2,2,0,0
출근,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,3,5,0,1,0,0,0,0,0,1,0,2,2,0
치료,2,9,7,11,1,6,0,3,10,5,6,13,5,9,9,1,5,9,15,11,9,1,0,4,14,16,18,18,7,9,8,5,13,2,3,5,10,10,1,30,5,10,7,9,2,14,11,6,2,9,5,11,10,6,4,8,0,9,1,3,1,4,4,1,6,14,7,7,6,7,1,0,9,5,4,5,125,9,21,2,10,4,5,6,2,4,79,14,10
탱크,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,1,0,5,2,2,2,0,0,0,0,0,0,2,0,0,0,1,1,3,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,9,4,0,0,1,0,1,0,0,0,4,0,0
통원,0,2,1,0,0,2,0,0,2,1,0,2,1,2,2,0,0,1,2,3,2,0,0,1,2,2,4,4,0,2,2,1,2,0,0,0,0,0,0,3,0,0,0,1,1,3,2,1,0,1,1,2,2,1,1,0,0,2,0,0,0,1,0,0,0,4,1,0,0,3,0,0,2,1,0,1,21,0,8,1,0,0,0,2,0,0,14,3,1
판단,2,5,2,0,2,1,2,1,0,0,1,5,0,5,5,2,0,0,0,0,5,4,2,0,0,0,0,10,2,0,4,5,1,9,1,0,2,0,2,1,0,1,0,0,3,0,0,0,3,4,1,0,5,0,0,0,2,7,3,2,2,0,2,2,0,1,2,1,0,0,9,2,0,2,0,0,2,0,1,7,0,0,0,3,2,0,11,0,0
페인트,0,2,0,2,0,0,2,0,0,0,1,2,0,2,2,0,1,2,2,1,4,4,0,2,2,1,1,4,0,0,6,0,1,0,0,1,1,1,0,7,1,2,1,1,4,0,0,0,0,1,0,2,2,1,0,1,2,2,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,0,1,0,10,1,0,0,9,2,0,0,0,0,8,0,2
폭발,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,0,0,0,3,0,2
한강,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,2,1,2
현장,0,5,2,0,1,2,1,1,0,1,1,5,0,5,5,1,0,1,1,0,5,0,1,0,0,0,0,10,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,3,4,0,1,1,0,0,0,5,1,0,1,0,5,0,2,1,1,0,1,0,2,0,1,0,0,2,1,0,1,0,0,6,0,2,3,0,0,0,8,0,0,13,2,0
호스,4,2,2,0,2,0,0,0,1,1,2,2,1,2,2,2,0,0,0,0,2,0,0,0,0,1,0,4,0,0,2,2,1,2,2,0,0,1,0,3,0,2,0,0,2,0,2,1,5,0,2,0,2,0,0,0,0,2,2,2,2,0,1,0,0,0,0,2,0,0,2,2,0,2,0,1,2,0,0,2,0,0,0,0,6,0,4,2,1
호흡,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,3,0,1,0
화상,5,18,7,7,3,5,8,4,7,3,6,22,2,18,18,3,3,8,11,8,20,9,7,4,9,12,13,36,7,6,15,10,12,15,5,3,6,6,5,22,3,10,3,5,8,23,11,7,7,11,5,8,20,6,4,7,5,22,6,5,3,5,6,5,4,11,6,6,5,3,15,3,4,5,2,2,79,4,14,11,8,3,2,13,4,0,94,12,8
회사,0,2,1,0,0,0,1,1,2,3,0,2,3,2,2,0,0,1,0,3,2,0,1,1,0,4,0,4,1,0,0,0,2,0,1,0,1,2,0,3,0,0,0,0,0,4,3,1,1,0,0,0,2,1,1,0,0,2,0,1,0,1,1,1,0,1,2,2,0,2,0,0,1,0,0,2,14,0,3,0,0,0,1,2,2,1,12,10,3
후송,2,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,2,2,0,0,0,0,2,1,2,0,0,2,0,0,1,0,0,0,2,4,1,2,0,5,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,1,0,2,2,2,0,1,0,8,3,9
